startDate,value
2020-08-19 19:18:18 -0400,191
2020-08-19 19:18:15 -0400,191
2020-08-19 19:18:10 -0400,192
2020-08-19 19:18:04 -0400,191
2020-08-19 19:17:56 -0400,192
2020-08-19 19:17:55 -0400,192
2020-08-19 19:17:47 -0400,192
2020-08-19 19:17:45 -0400,192
2020-08-19 19:17:36 -0400,191
2020-08-19 19:17:33 -0400,192
2020-08-19 19:17:26 -0400,191
2020-08-19 19:17:25 -0400,191
2020-08-19 19:17:16 -0400,192
2020-08-19 19:17:15 -0400,192
2020-08-19 19:17:09 -0400,193
2020-08-19 19:17:05 -0400,193
2020-08-19 19:17:00 -0400,193
2020-08-19 19:16:53 -0400,192
2020-08-19 19:16:50 -0400,193
2020-08-19 19:16:41 -0400,193
2020-08-19 19:16:40 -0400,194
2020-08-19 19:16:35 -0400,194
2020-08-19 19:16:28 -0400,195
2020-08-19 19:16:25 -0400,194
2020-08-19 19:16:17 -0400,195
2020-08-19 19:16:11 -0400,195
2020-08-19 19:16:06 -0400,194
2020-08-19 19:16:01 -0400,194
2020-08-19 19:16:00 -0400,193
2020-08-19 19:15:51 -0400,191
2020-08-19 19:15:46 -0400,191
2020-08-19 19:15:44 -0400,191
2020-08-19 19:15:38 -0400,192
2020-08-19 19:15:33 -0400,192
2020-08-19 19:15:28 -0400,192
2020-08-19 19:15:23 -0400,192
2020-08-19 19:15:20 -0400,191
2020-08-19 19:15:12 -0400,191
2020-08-19 19:15:08 -0400,192
2020-08-19 19:15:03 -0400,192
2020-08-19 19:14:59 -0400,192
2020-08-19 19:14:55 -0400,191
2020-08-19 19:14:47 -0400,190
2020-08-19 19:14:44 -0400,190
2020-08-19 19:14:37 -0400,190
2020-08-19 19:14:35 -0400,189
2020-08-19 19:14:26 -0400,188
2020-08-19 19:14:21 -0400,188
2020-08-19 19:14:19 -0400,188
2020-08-19 19:14:11 -0400,188
2020-08-19 19:14:10 -0400,188
2020-08-19 19:14:04 -0400,187
2020-08-19 19:13:59 -0400,189
2020-08-19 19:13:54 -0400,188
2020-08-19 19:13:49 -0400,188
2020-08-19 19:13:41 -0400,188
2020-08-19 19:13:40 -0400,188
2020-08-19 19:13:31 -0400,187
2020-08-19 19:13:29 -0400,188
2020-08-19 19:13:25 -0400,188
2020-08-19 19:13:16 -0400,188
2020-08-19 19:13:11 -0400,187
2020-08-19 19:13:06 -0400,186
2020-08-19 19:13:05 -0400,186
2020-08-19 19:13:00 -0400,185
2020-08-19 19:12:54 -0400,185
2020-08-19 19:12:46 -0400,184
2020-08-19 19:12:45 -0400,184
2020-08-19 19:12:36 -0400,183
2020-08-19 19:12:32 -0400,184
2020-08-19 19:12:29 -0400,185
2020-08-19 19:12:22 -0400,187
2020-08-19 19:12:19 -0400,186
2020-08-19 19:12:11 -0400,187
2020-08-19 19:12:07 -0400,187
2020-08-19 19:12:04 -0400,187
2020-08-19 19:12:00 -0400,186
2020-08-19 19:11:55 -0400,185
2020-08-19 19:11:46 -0400,186
2020-08-19 19:11:44 -0400,187
2020-08-19 19:11:39 -0400,187
2020-08-19 19:11:35 -0400,187
2020-08-19 19:11:27 -0400,188
2020-08-19 19:11:22 -0400,186
2020-08-19 19:11:16 -0400,185
2020-08-19 19:11:15 -0400,186
2020-08-19 19:11:06 -0400,185
2020-08-19 19:11:05 -0400,185
2020-08-19 19:10:56 -0400,185
2020-08-19 19:10:52 -0400,185
2020-08-19 19:10:46 -0400,185
2020-08-19 19:10:45 -0400,184
2020-08-19 19:10:40 -0400,184
2020-08-19 19:10:31 -0400,185
2020-08-19 19:10:29 -0400,185
2020-08-19 19:10:25 -0400,183
2020-08-19 19:10:17 -0400,183
2020-08-19 19:10:15 -0400,182
2020-08-19 19:10:07 -0400,180
2020-08-19 19:10:05 -0400,181
2020-08-19 19:09:57 -0400,180
2020-08-19 19:09:52 -0400,179
2020-08-19 19:09:49 -0400,179
2020-08-19 19:09:43 -0400,180
2020-08-19 19:09:39 -0400,180
2020-08-19 19:09:34 -0400,180
2020-08-19 19:09:29 -0400,179
2020-08-19 19:09:25 -0400,180
2020-08-19 19:09:16 -0400,179
2020-08-19 19:09:15 -0400,179
2020-08-19 19:09:08 -0400,179
2020-08-19 19:09:01 -0400,179
2020-08-19 19:09:00 -0400,180
2020-08-19 19:08:55 -0400,180
2020-08-19 19:08:46 -0400,182
2020-08-19 19:08:41 -0400,181
2020-08-19 19:08:40 -0400,181
2020-08-19 19:08:31 -0400,182
2020-08-19 19:08:27 -0400,182
2020-08-19 19:08:21 -0400,181
2020-08-19 19:08:20 -0400,180
2020-08-19 19:08:13 -0400,180
2020-08-19 19:08:06 -0400,180
2020-08-19 19:08:05 -0400,180
2020-08-19 19:07:59 -0400,179
2020-08-19 19:07:53 -0400,178
2020-08-19 19:07:50 -0400,178
2020-08-19 19:07:41 -0400,178
2020-08-19 19:07:40 -0400,177
2020-08-19 19:07:32 -0400,181
2020-08-19 19:07:29 -0400,181
2020-08-19 19:07:23 -0400,179
2020-08-19 19:07:20 -0400,180
2020-08-19 19:07:15 -0400,180
2020-08-19 19:07:09 -0400,180
2020-08-19 19:07:02 -0400,181
2020-08-19 19:06:56 -0400,182
2020-08-19 19:06:51 -0400,181
2020-08-19 19:06:50 -0400,182
2020-08-19 19:06:44 -0400,182
2020-08-19 19:06:36 -0400,183
2020-08-19 19:06:31 -0400,182
2020-08-19 19:06:30 -0400,182
2020-08-19 19:06:22 -0400,181
2020-08-19 19:06:20 -0400,181
2020-08-19 19:06:15 -0400,181
2020-08-19 19:06:10 -0400,180
2020-08-19 18:59:25 -0400,74
2020-08-19 18:57:20 -0400,84
2020-08-19 18:52:26 -0400,85
2020-08-19 13:50:01 -0400,98
2020-08-19 13:42:55 -0400,97
2020-08-19 13:41:10 -0400,99
2020-08-19 13:33:19 -0400,98
2020-08-19 13:29:23 -0400,97
2020-08-19 13:23:53 -0400,79
2020-08-19 13:17:54 -0400,96
2020-08-19 13:16:44 -0400,94
2020-08-19 13:10:08 -0400,89
2020-08-19 13:06:30 -0400,86
2020-08-19 12:59:29 -0400,88
2020-08-19 12:54:49 -0400,83
2020-08-19 12:51:07 -0400,82
2020-08-19 12:44:37 -0400,82
2020-08-19 12:36:38 -0400,85
2020-08-19 12:28:20 -0400,80
2020-08-19 12:27:17 -0400,78.3673
2020-08-19 12:26:39 -0400,80
2020-08-19 12:17:52 -0400,79
2020-08-19 12:13:40 -0400,81
2020-08-19 12:09:39 -0400,74
2020-08-19 12:07:16 -0400,79
